Kindergarten ID,Kindergarten name,District,City,Location price,Toddler age group price,Junior age group price,Preschooler age group price,Full-day care type price,Half-day care type price,Extended care type price,Drop-in care type price
0,Lively Cuddles,Gorniak,Lodz,2190,2925,2650,2475,5317,4131,6553,4613
1,Radiant Twinkles,Ursynow,Warszawa,2730,2934,2697,2456,5328,4135,6585,4609
2,Sweet Friends,Ujescisko-Lostowice,Gdansk,2415,2938,2715,2533,5290,4103,6596,4530
3,Sunny Cuddles,Grunwald,Poznan,2280,2908,2657,2526,5318,4061,6594,4533
4,Brave Puddles,Nowa Huta,Krakow,2445,2866,2657,2517,5313,4087,6598,4552
5,Zany Breezes,Ochota,Warszawa,2835,2892,2735,2532,5321,4116,6606,4622
6,Clever Daisies,Stare Miasto,Poznan,2295,2930,2715,2503,5330,4134,6588,4573
7,Magical Companions,Junikowo,Poznan,2385,2861,2661,2532,5277,4094,6611,4618
8,Brave Waves,Bartodzieje,Bydgoszcz,2145,2889,2634,2516,5281,4109,6638,4537
9,Dreamy Waves,Slawin,Lublin,2025,2915,2697,2494,5319,4112,6638,4614
